,forecast,lower_ci,upper_ci
2024-11-01,128816688.27483083,41266777.912600294,216366598.63706136
2024-12-01,103044546.96066421,14592830.427179739,191496263.49414867
2025-01-01,134642419.4508916,43550584.35496116,225734254.54682207
2025-02-01,115137409.68407652,22507480.157299414,207767339.21085364
2025-03-01,108946835.20158893,15253116.971210688,202640553.43196717
2025-04-01,95108869.32492298,-1204432.39290677,191422171.04275274
2025-05-01,140321773.98397294,42893185.04200502,237750362.92594087
2025-06-01,126370114.9660137,27605882.357193843,225134347.57483357
2025-07-01,119149055.9603773,18022187.153442204,220275924.7673124
2025-08-01,134818950.13952953,32812076.46506776,236825823.8139913
2025-09-01,148652142.49450043,44997583.232004866,252306701.75699598
2025-10-01,144549755.01522282,38934729.64247595,250164780.38796967
