date,forecast,lower_ci,upper_ci
2025-01-01,1820935.2768496484,-484372.2290104735,4126242.7827097704
2025-02-01,1489442.7072043712,-917002.9264948792,3895888.3409036216
2025-03-01,1469477.971353073,-945849.0980461512,3884805.0407522973
2025-04-01,1360558.7310288036,-1055564.8733128929,3776682.3353705
2025-05-01,2214578.8534853235,-201616.31891680136,4630774.025887448
2025-06-01,2063816.6457626517,-352384.9579700534,4480018.249495357
2025-07-01,1449728.8866380583,-966473.2944090501,3865931.067685167
2025-08-01,2449835.0534860487,33632.82766678324,4866037.279305315
2025-09-01,2765972.884978928,349770.73423696123,5182175.035720895
2025-10-01,1864473.322554766,-551727.941226281,4280674.586335813
2025-11-01,1501593.2960668367,-914598.0931792601,3917784.6853129333
2025-12-01,2359630.7646484235,-56450.74006044399,4775712.269357291
