,forecast,lower_ci,upper_ci
2024-11-01,1375577.9608082967,-1011933.9307200089,3763089.8523366023
2024-12-01,1021102.4901672374,-1560544.3091198164,3602749.289454291
2025-01-01,1152322.9078555217,-1470439.2140811717,3775085.0297922147
2025-02-01,1160118.064049215,-1462644.0579102514,3782880.1860086815
2025-03-01,1361645.1922585377,-1261116.9297009287,3984407.3142180042
2025-04-01,1019991.3838894954,-1602770.7334494325,3642753.5012284233
2025-05-01,2361634.627653788,-261127.48968514008,4984396.744992716
2025-06-01,2050514.1063544776,-572248.0109844508,4673276.223693406
2025-07-01,1236192.5300587867,-1386569.5872801417,3858954.647397715
2025-08-01,1434974.7622324685,-1187787.3551064595,4057736.8795713964
2025-09-01,1207784.3092311593,-1414977.8081077687,3830546.426570087
2025-10-01,1481733.884242451,-1141028.2330964773,4104496.001581379
