Mineral,form,ITC(HS)
Copper,Copper scrap,74040012
Copper,Copper ores and concentrates,26030000
Copper,Copper oxychloride,38089250
Copper,Copper mattes,74010010
Copper,Copper-zinc base alloys (brass),74032100
Copper,Copper weld wire,74081910
Copper,Copper worked articles,74199940
Copper,Copper coated wire,72299016
Copper,Copper oxides and hydroxides,28255000
Copper,Copper bars (excluding hollow bars),74071030
Graphite,Graphite filter candle,68151010
Graphite,"Graphite, crystalline",25041010
Graphite,"Graphite, amorphous",25041020
Graphite,"Graphite, micronised",25049010
Graphite,Graphite bricks and shapes,69029020
Lithium,Lithium carbonates,28369100
Lithium,Lithium-ion,85076000
Lithium,Lithium,85065000
Lithium,Lithium oxide and hydroxide,28252000
